job-title,location,type,categories,dated posted,aaply link
Sr. Manager- Manufacturing Production,"Bangalore, Karnataka
India",Onsite,Industrial / Manufacturing,04/09/2026,https://careers-se.icims.com/jobs/113232/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Backend Developer,"Gurgaon, Haryana
India",Hybrid,Technical,02/20/2026,https://careers-se.icims.com/jobs/109364/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Lead, ERP Business Analyst","Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,04/02/2026,https://careers-se.icims.com/jobs/103006/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager- Agri Sales  (Chennai location),"Chennai, Tamil Nadu
India",Hybrid,Sales,02/14/2026,https://careers-se.icims.com/jobs/108211/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - Embedded Systems (Hardware Design),"Mumbai, Maharashtra
India",Onsite,Technical,09/19/2025,https://careers-se.icims.com/jobs/96983/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Software Development Engineering (High Tech)  - Experienced Professional,"Bangalore, Karnataka
India",Hybrid,Technical,05/06/2026,https://careers-se.icims.com/jobs/115806/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - R&D Technical,"Mumbai, Maharashtra
India",Onsite,Technical,03/13/2026,https://careers-se.icims.com/jobs/95388/login?iis=Job%20Board&iisn=linkedin&src=linkedin
General Field Sales: Key Clients - Senior Professional,"Vadodara, Gujarat
India",Onsite,Sales,05/11/2026,https://careers-se.icims.com/jobs/115205/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Key Account Manager,"Delhi
India",Hybrid,Sales,04/15/2026,https://careers-se.icims.com/jobs/109436/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Deputy Manager - R&D,"Vadodara, Gujarat
India",Onsite,Technical,03/26/2026,https://careers-se.icims.com/jobs/112732/login?iis=Job%20Board&iisn=linkedin&src=linkedin
GM- Supply Chain Planning,"Chennai, Tamil Nadu
India",Onsite,Supply Chain Planning,04/02/2026,https://careers-se.icims.com/jobs/113049/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - IA Sales - Raipur,"Raipur, Chhattisgarh
India",Onsite,Sales,05/15/2026,https://careers-se.icims.com/jobs/117486/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - LV Sales - Bharuch - WZ,"Vadodara, Gujarat
India",Onsite,Sales,05/08/2026,https://careers-se.icims.com/jobs/116866/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM - Localization Project Leader,"Bangalore, Karnataka
India",Onsite,Industrial / Manufacturing,05/19/2026,https://careers-se.icims.com/jobs/117292/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Internal Audit Data Analytics,"Bangalore, Karnataka
India",Hybrid,Logistics,05/19/2026,https://careers-se.icims.com/jobs/117412/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Regional DSP Head - Ahmedabad,"Ahmedabad, Gujarat
India",Onsite,Sales,02/26/2026,https://careers-se.icims.com/jobs/109599/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Lead, Solution Analyst","Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,03/25/2026,https://careers-se.icims.com/jobs/107863/login?iis=Job%20Board&iisn=linkedin&src=linkedin
SAP TM Consultant,"Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,03/08/2026,https://careers-se.icims.com/jobs/103018/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager Indirect Procurement,"Chennai, Tamil Nadu
India",Onsite,Procurement,01/14/2026,https://careers-se.icims.com/jobs/105454/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager - Tender Engineer,India,Hybrid,Customer Projects & Services,03/13/2026,https://careers-se.icims.com/jobs/111753/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Procurement - Experienced Professional,"Bangalore, Karnataka
India",Hybrid,Procurement,04/07/2026,https://careers-se.icims.com/jobs/113916/login?iis=Job%20Board&iisn=linkedin&src=linkedin
GM – Organization-Wide Technical Skill Development,"Vadodara, Gujarat
India",Onsite,Customer Satisfaction & Quality,04/24/2026,https://careers-se.icims.com/jobs/111418/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager / Senior Manager - Quality,"Bangalore, Karnataka
India",Onsite,Customer Satisfaction & Quality,05/18/2026,https://careers-se.icims.com/jobs/114492/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Strategy Leader,"Bangalore, Karnataka
India",Hybrid,General Management,05/18/2026,https://careers-se.icims.com/jobs/117588/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Senior , ERP Business Analyst","Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,04/13/2026,https://careers-se.icims.com/jobs/114480/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Expert - Release Architect,"Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,03/05/2026,https://careers-se.icims.com/jobs/106532/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Deputy Manager - Learning Services,"Bangalore, Karnataka
India",Hybrid,Human Resources,05/13/2026,https://careers-se.icims.com/jobs/114770/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manufacturing Production  - Experienced Professional,"Ahmednagar, Maharashtra
India",Onsite,Industrial / Manufacturing,05/14/2026,https://careers-se.icims.com/jobs/115632/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Deputy Manager - Production,"Vadodara, Gujarat
India",Onsite,Industrial / Manufacturing,09/03/2025,https://careers-se.icims.com/jobs/95581/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Deputy Manager - MVE R&D,"Maharashtra
India",Onsite,Technical,08/22/2025,https://careers-se.icims.com/jobs/95100/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM-Offer - Sensors,"Bangalore, Karnataka
India",Hybrid,Marketing,04/07/2026,https://careers-se.icims.com/jobs/113365/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Data Risk Deputy Leader,"Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,03/30/2026,https://careers-se.icims.com/jobs/113188/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager-Procurement Effectiveness,"Bangalore, Karnataka
India",Onsite,Procurement,04/21/2026,https://careers-se.icims.com/jobs/114126/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM- Product Marketing (System Drive Solutions),Multiple,Hybrid,Sales,03/23/2026,https://careers-se.icims.com/jobs/106424/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Cloud Full stack Developer,"Bangalore, Karnataka
India",Onsite,Technical,03/10/2026,https://careers-se.icims.com/jobs/108573/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Deputy Manager-Customer support,"Mumbai, Maharashtra
India",Onsite,"Customer Projects, Solutions and Services",05/18/2026,https://careers-se.icims.com/jobs/106318/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Data Domain Owner,"Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,04/16/2026,https://careers-se.icims.com/jobs/113530/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Deputy Manager - Quality,"Bangalore, Karnataka
India",Onsite,Customer Satisfaction & Quality,05/11/2026,https://careers-se.icims.com/jobs/116716/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Lead, SAP SLT Analyst","Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,12/11/2025,https://careers-se.icims.com/jobs/103195/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Software Engineer,"Bangalore, Karnataka
India",Hybrid,Technical,11/07/2025,https://careers-se.icims.com/jobs/101064/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager - Cooling,Multiple,Hybrid,Customer Projects & Services,04/07/2026,https://careers-se.icims.com/jobs/113413/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Deputy Manager – Supply Chain,"Vadodara, Gujarat
India",Onsite,Supply Chain Planning,05/20/2026,https://careers-se.icims.com/jobs/117737/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Expert, Quotation Solution Deployment","Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,03/09/2026,https://careers-se.icims.com/jobs/108436/login?iis=Job%20Board&iisn=linkedin&src=linkedin
