Job Title,Job Description,Category
Software Engineer,Develop and maintain software applications using Python and Java,IT / Software Development
React Developer,Build responsive web applications using React and JavaScript,IT / Software Development
Python Developer,Write clean Python code for backend services and APIs,IT / Software Development
Full Stack Developer,Work on both frontend and backend using Node.js and React,IT / Software Development
Data Scientist,Analyze large datasets and build predictive ML models,Data Science / Analytics
Machine Learning Engineer,Design and deploy machine learning pipelines and models,Data Science / Analytics
Data Analyst,Perform statistical analysis and create dashboards in Power BI,Data Science / Analytics
Business Intelligence Analyst,Build BI reports and maintain data warehouses,Data Science / Analytics
HR Recruiter,Source and screen candidates for various job roles,Human Resource
HR Manager,Oversee HR operations including payroll and employee relations,Human Resource
Talent Acquisition Specialist,Manage end-to-end recruitment lifecycle for tech roles,Human Resource
HR Business Partner,Align HR strategies with business objectives,Human Resource
Sales Executive,Generate leads and close deals with enterprise clients,Sales / Business Development
Business Development Manager,Identify new business opportunities and manage client relationships,Sales / Business Development
Account Manager,Maintain relationships with key accounts and upsell products,Sales / Business Development
Sales Representative,Meet sales targets through cold calling and field visits,Sales / Business Development
Digital Marketing Manager,Plan and execute SEO SEM and social media campaigns,Marketing
Content Writer,Write blogs articles and website copy for B2B clients,Marketing
Social Media Manager,Manage brand presence across Instagram LinkedIn and Twitter,Marketing
SEO Specialist,Optimize website content for search engine ranking,Marketing
Graphic Designer,Create visual content for digital and print media,Design / Creative
UI UX Designer,Design intuitive user interfaces and conduct usability testing,Design / Creative
Product Designer,Own the end-to-end design process from wireframes to prototypes,Design / Creative
Video Editor,Edit and produce video content for YouTube and social platforms,Design / Creative
Accountant,Manage financial statements reconciliation and tax filings,Finance / Accounting
Financial Analyst,Build financial models and conduct variance analysis,Finance / Accounting
Chartered Accountant,Handle audits taxation and compliance for corporate clients,Finance / Accounting
Finance Manager,Oversee budgeting forecasting and financial reporting,Finance / Accounting
Operations Manager,Streamline business operations and manage cross-functional teams,Operations / Management
Project Manager,Plan execute and close projects within scope and budget,Operations / Management
Supply Chain Manager,Manage procurement logistics and inventory operations,Operations / Management
General Manager,Lead overall business strategy and team performance,Operations / Management
Customer Support Executive,Handle customer queries via email chat and phone,Customer Service
Customer Success Manager,Ensure client satisfaction and drive product adoption,Customer Service
Support Engineer,Resolve technical issues raised by enterprise customers,Customer Service
Help Desk Analyst,Provide L1 and L2 IT support to internal employees,Customer Service
Network Engineer,Configure and maintain LAN WAN and firewall infrastructure,IT / Infrastructure
DevOps Engineer,Build CI CD pipelines and manage cloud infrastructure on AWS,IT / Software Development
Cybersecurity Analyst,Monitor and respond to security threats and vulnerabilities,IT / Infrastructure
System Administrator,Manage servers storage and virtualization environments,IT / Infrastructure
Android Developer,Build and publish Android apps using Kotlin and Java,IT / Software Development
iOS Developer,Develop iOS applications using Swift and Xcode,IT / Software Development
Backend Developer,Design RESTful APIs and manage databases with PostgreSQL,IT / Software Development
QA Engineer,Write test cases and perform manual and automation testing,IT / Software Development
Cloud Architect,Design scalable cloud solutions on AWS Azure and GCP,IT / Infrastructure
Data Engineer,Build ETL pipelines and manage big data infrastructure,Data Science / Analytics
Research Analyst,Conduct market research and competitive analysis for strategy,Data Science / Analytics
Biomedical Engineer,Design and test medical devices and equipment,Engineering / Technical
Mechanical Engineer,Design mechanical components using CAD and SolidWorks,Engineering / Technical
Civil Engineer,Plan and supervise construction projects and structural designs,Engineering / Technical
Electrical Engineer,Design electrical systems and control panels for industrial use,Engineering / Technical
Pharmacist,Dispense medications and counsel patients on drug usage,Healthcare / Medical
Nurse,Provide patient care and assist doctors in clinical procedures,Healthcare / Medical
Doctor,Diagnose and treat patients in outpatient and inpatient settings,Healthcare / Medical
Medical Lab Technician,Perform diagnostic tests and analyze biological samples,Healthcare / Medical
Legal Advisor,Provide legal counsel on contracts compliance and disputes,Legal
Corporate Lawyer,Draft and review legal agreements for corporate transactions,Legal
Compliance Officer,Ensure organizational adherence to regulatory requirements,Legal
Teacher,Teach subjects to students and prepare lesson plans,Education / Training
Corporate Trainer,Design and deliver training programs for employee upskilling,Education / Training
Academic Counselor,Guide students on course selection and career paths,Education / Training
HR Executive,Manage employee records and hiring processes.,Human Resource
Frontend Engineer,Create responsive user interfaces using React and JavaScript.,IT / Software Development
Digital Marketing Executive,Plan and execute digital campaigns.,Marketing
Payroll Specialist,Process payroll and maintain employee benefits.,Human Resource
Frontend Engineer,Create responsive user interfaces using React and JavaScript.,IT / Software Development
Business Analyst,Interpret data and generate business insights.,Data Science / Analytics
Payroll Specialist,Process payroll and maintain employee benefits.,Human Resource
Frontend Engineer,Create responsive user interfaces using React and JavaScript.,IT / Software Development
Digital Marketing Executive,Plan and execute digital campaigns.,Marketing
Java Developer,Build enterprise applications using Java and Spring.,IT / Software Development
HR Executive,Manage employee records and hiring processes.,Human Resource
DevOps Engineer,Manage CI/CD pipelines and cloud infrastructure.,IT / Software Development
Content Strategist,Create content plans and improve brand presence.,Marketing
Data Engineer,Build and maintain data pipelines.,Data Science / Analytics
Payroll Specialist,Process payroll and maintain employee benefits.,Human Resource
Data Engineer,Build and maintain data pipelines.,Data Science / Analytics
Content Strategist,Create content plans and improve brand presence.,Marketing
Machine Learning Engineer,Develop predictive models and analyze data.,Data Science / Analytics
Payroll Specialist,Process payroll and maintain employee benefits.,Human Resource
Frontend Engineer,Create responsive user interfaces using React and JavaScript.,IT / Software Development
Content Strategist,Create content plans and improve brand presence.,Marketing
Data Engineer,Build and maintain data pipelines.,Data Science / Analytics
Data Engineer,Build and maintain data pipelines.,Data Science / Analytics
Talent Acquisition Specialist,Handle recruitment and onboarding activities.,Human Resource
Talent Acquisition Specialist,Handle recruitment and onboarding activities.,Human Resource
Machine Learning Engineer,Develop predictive models and analyze data.,Data Science / Analytics
SEO Specialist,Optimize websites for search engines.,Marketing
SEO Specialist,Optimize websites for search engines.,Marketing
Digital Marketing Executive,Plan and execute digital campaigns.,Marketing
Java Developer,Build enterprise applications using Java and Spring.,IT / Software Development
Payroll Specialist,Process payroll and maintain employee benefits.,Human Resource
Talent Acquisition Specialist,Handle recruitment and onboarding activities.,Human Resource
